X,Y
NaN,245.323
-Infinity,240.613
-Infinity,220.419
-Infinity,207.452
-Infinity,194.613
-Infinity,178.871
-Infinity,174.968
-Infinity,186.258
-Infinity,181.645
-Infinity,179.968
-Infinity,181.516
-Infinity,182.387
-Infinity,178.484
-Infinity,178.290
-Infinity,171.452
-Infinity,179.581
-Infinity,171.774
-Infinity,174.710
-Infinity,172.871
-Infinity,174.226
-Infinity,170.774
-Infinity,172.161
-Infinity,172.194
-Infinity,174.290
-Infinity,166.774
-Infinity,175.710
-Infinity,190.161
-Infinity,177.516
-Infinity,180.871
-Infinity,175.194
-Infinity,172.032
-Infinity,186.355
-Infinity,178.710
-Infinity,161.452
-Infinity,162.226
-Infinity,162.065
-Infinity,168.871
-Infinity,159.065
-Infinity,161.226
-Infinity,162.774
-Infinity,159.355
-Infinity,157.065
-Infinity,155.581
-Infinity,155.129
-Infinity,153.097
-Infinity,156.581
-Infinity,159.387
-Infinity,151.032
-Infinity,149.645
-Infinity,157.516
-Infinity,154.387
-Infinity,156.161
-Infinity,156.871
-Infinity,156.484
-Infinity,156.484
-Infinity,155.258
-Infinity,150.484
-Infinity,148.065
-Infinity,151.581
-Infinity,153.161
-Infinity,161.032
-Infinity,157.161
-Infinity,152.065
-Infinity,152.871
-Infinity,146.548
-Infinity,149.097
-Infinity,156.774
-Infinity,156.323
-Infinity,148.032
-Infinity,151.968
-Infinity,145.226
-Infinity,145.710
-Infinity,146.903
-Infinity,145.194
-Infinity,154.323
-Infinity,154.839
-Infinity,150.452
-Infinity,150.194
-Infinity,144.871
-Infinity,141.419
-Infinity,145.677
-Infinity,141.839
-Infinity,141.806
-Infinity,155.581
-Infinity,152.935
-Infinity,141.774
-Infinity,152.871
-Infinity,147.968
-Infinity,151.226
-Infinity,144.161
-Infinity,146.032
-Infinity,148.226
-Infinity,145.194
-Infinity,143.581
-Infinity,148.065
-Infinity,151.226
-Infinity,145.452
-Infinity,143.161
-Infinity,138.032
-Infinity,144.387
-Infinity,146.484
-Infinity,145.710
-Infinity,143.742
-Infinity,145.258
-Infinity,144.129
-Infinity,140.742
-Infinity,144.032
-Infinity,143.419
-Infinity,137.613
-Infinity,144.065
-Infinity,142.097
-Infinity,144.355
-Infinity,142.516
-Infinity,140.484
-Infinity,142.774
-Infinity,142.065
-Infinity,139.581
-Infinity,141.710
-Infinity,142.258
-Infinity,139.484
-Infinity,140.484
-Infinity,141.419
-Infinity,138.452
-Infinity,137.935
-Infinity,144.194
-Infinity,140.161
-Infinity,134.742
-Infinity,139.581
-Infinity,145.903
-Infinity,144.226
-Infinity,144.355
-Infinity,140.129
-Infinity,131.516
-Infinity,141.226
-Infinity,141.806
